code,title,credit,description
MGMT 65500,Competitive Strategy,2.00 or 3,".00.  Examines how firms obtain and sustain superior returns through the development and implementation of a competitive strategy at the business-unit level.  Focus is on strategies that develop and exploit two sources of superior returns: unique value-creating resources (e.g., patents, brand equity, operational capabilities), and powerful positions in markets and supply chains.  Participants are expected to be familiar with basic competitive strategy concepts and tools, such as five-forces analysis, the value chain, and generic strategies.  Presents a more analytical perspective of strategy, drawing from game theory. Prerequisites: MGMT 65000. Typically offered Fall Spring Summer."
MGMT 67000,Business Analytics,2.00 to 4,".00.  Introduction to quantitative decision procedures under uncertainty. Applications of descriptive statistics, probability models, simulation models, interval estimates, and hypothesis testing to management problems. Managerial-oriented cases are used in instruction.  Prerequisite: Master’s student standing and Management majors only. Typically offered Fall."
MGMT 66000,Introduction To Operations Management,2.00 to 4,".00 (West Lafayette) 3.00 (Calumet, North Central) As goods and services are produced and distributed, they move through a set of inter-related operations or processes in order to match supply with demand. The design of these operations for strategic advantage, investment in improving their efficiency and effectiveness, and controlling these operations to meet performance objectives is the domain of Operations Management. The primary objective of the course is to provide an overview of this important functional area of business. Prerequisite:  MGMT 67000, 67100. Typically offered Fall Spring Summer."
MGMT 66800,International Business Practicum,hour 2.00,".  International business practicum, in the form of a study abroad. Practicum is field-based and involves the completion of team and individual projects about businesses in the destination country. The projects address a current and significant problem identified by the firms during the visit. Students work in teams, effectively demonstrating interpersonal and teamwork skills as well as communication abilities appropriate in a collaborative business setting. The international travel component is preceded by an extensive review of recent literature featuring case studies and primary research about businesses in the destination country or region. Permission of department required. Typically offered Fall Spring Summer."
MGMT 53010,Foundations Of Business Law,1.00 to 2,".00. A review of the operation of our legal system and its significance in managerial decision making. Topics may include: legal heritage, courts and jurisdiction, liability, contracts, forms of business organization and investor protections, negotiable instruments and Uniform Commercial Code. Typically offered Fall Spring Summer."
MGMT 52700,Accounting Theory,3.00,".  Important accounting constructs (such as assets, liabilities, cost) are defined, and measurement issues are discussed. Generally accepted accounting principle concepts, principles, and assumptions are examined. The value of information via an examination of various theories of information and decision making, including psychological theories and theories of ethical decision making are considered.  Permission of instructor required.  Typically offered Fall Spring Summer."
MGMT 52600,Commercial Law,3.00,".  Focuses primarily on the law of ownership, forms of business organizations, the uniform commercial code as it relates to sales, commercial paper and secured transactions, governmental regulation of business, and accountant’s liability.  Permission of instructor required.  Typically offered Fall Spring Summer."
MGMT 52010,Foundations Of Marketing,1.00 to 2,".00. The objectives of this course are to expose students to the problems commonly found by marketing managers and develop skills in analyzing marketing problems and prepare implementable plans of action based on the analyses of the given business situations. Marketing decision-making will explore the product, price, promotion, and distribution of ideas, goods, and services to create exchanges that satisfy individual and organizational objectives. Typically offered Fall Spring Summer."
MGMT 51800,Criminology And Legal Issues,3.00,. Focuses on the topics of psychological and sociological theories of behavior as they relate to white collar crime. Develops an understanding of techniques and legal procedures associated with interviewing individuals associated with cases to support investigations. Typically offered Fall Spring Summer.
MGMT 51900,Advanced Fraud Investigation,3.00,". A capstone course in Fraud Investigation. The course covers major fraud case investigation, with an emphasis on forensic and litigation support aspects. Typically offered Fall Spring Summer."
MGMT 51600,Investment Management,3.00,".  Treatment of problems of portfolio analysis, capital markets, and securities investment selection. Theoretical development and practical applications at the level of the individual decision maker.  Not open to students with credit in MGMT 44500. Typically offered Fall Spring Summer."
MGMT 51700,Fraud Data Analysis,3.00,.  Develops an understanding of various aspects of IT auditing and fraud data analysis.  This course covers the IT audit process to identify sources of fraud and to identify risks associated with information technology assurance.  Typically offered Fall Spring Summer.
MGMT 51200,Financial Institutions And Markets,3.00,".  Analysis of management policy of financial institutions, including liquidity management, liability management, asset management, and capital management; description of the legal, economic, and regulatory environments and their implications for management. Emphasis on commercial bank management.  Not open to students with credit in MGMT 41200. Typically offered Fall Spring Summer."
MGMT 51500,Fraud Investigation,3.00,. Develops an understanding of how and why occupational fraud occurs. This course focuses upon how fraudulent conduct may be deterred and how allegations of fraud should be investigated. Typically offered Fall Spring Summer.
MGMT 51120,Tax For Managers,3.00,".  This advanced taxation course introduces topics of primary interest to management and discrete tax professionals including payroll tax, sales tax, use tax, property tax, occupancy tax, and unclaimed property. The course approach is through the perspective of a new business exploring administrative, compliance, and common issues for each subject area conducted through hands-on case studies procured from actual client work. Typically offered Fall Spring Summer."
MGMT 51040,Tax Practice And Standards,3.00,".  Tax Practice And Standards is an intensive study of Federal taxation of Individuals, Federal taxation of Businesses, and Representation before the Internal Revenue Service. Typically offered Fall Spring Summer."
MGMT 50900,International Accounting,3.00,.  Provides insight into and an understanding of the many accounting problems and issues faced in an international business environment. The material is approached from two compatible and overlapping perspectives: the perspective of accounting or financial management in a U.S. multinational corporation and the perspective of an investor interested in understanding the international business environment. Typically offered Fall Spring.
MGMT 50800,Accounting For Non-Profit Organizations,3.00,".  An accounting course for non-profit organizations.  Topics include accounting for non-profit hospitals, colleges, and universities, federal governmental accounting, and auditing concepts for governmental entities.  Also covered is analysis of not-for-profit and governmental financial statements. Typically offered Fall Spring."
MGMT 50700,Advanced Federal Income Taxes,3.00,".  Advanced course in federal income taxes, with a brief study of gift and estate taxes. Some issues covered in MGMT 50400 are studied in more depth, particularly taxation of corporations and partnerships. The course, which is taught in seminar format, gives the student considerable practice in doing tax research and reporting conclusions. It is especially appropriate for the student entering a career in a tax environment. Typically offered Spring."
MGMT 50500,Management Accounting II,3.00,".  The focus of the course is managerial decision making and the economic role of information. Topics covered include decentralized financial performance evaluation, cost analysis, and financial planning and control systems. Typically offered Fall."
MGMT 50400,Tax Accounting,3.00,".  Basic tax course designed to provide an understanding of the various federal taxes, including income, gift, estate, excise, federal insurance contribution, self-employment, and unemployment taxes. Typically offered Fall Spring."
MGMT 50600,Auditing,3.00,".  A study of the concepts and procedures of auditing, which is the systematic process of objectively obtaining and evaluating evidence regarding assertions about economic actions and events. Primary emphasis is on audits conducted by independent certified public accountants, but topics covered apply to internal auditing as well. Typically offered Spring."
MGMT 50100,Advanced Taxation,3.00,".  An advanced course in federal income taxation, with an in-depth study of corporations and partnerships. Additional topics will include professional responsibility, tax planning, and basic tax research.  Typically offered Fall."
MGMT 50300,Advanced Accounting,3.00,".  Advanced course in financial accounting. A range of contemporary issues in financial reporting, such as business combinations, investments, consolidations, inflation, multinationals, and tax allocation are covered. Both technical proficiency and user applications are emphasized. Typically offered Fall Spring."
MGMT 50220,Accounting Communications,3.00,".  This course emphasizes the important elements of communications: written, oral, email, and “body language.” It is a project oriented class with both group and individual projects. Typically offered Fall Spring Summer."
MGMT 32300,Principles Of Marketing,3.00,". This course aims to provide students with a broad understanding of marketing concepts that are useful to managers in a variety of applications including the marketing of consumer products, marketing of services, business-to-business marketing, and the marketing challenges that arise in not-for-profit organizations.  Marketing involves identifying customer needs, then satisfying those needs by offering the right product and/or service at an acceptable price, making it available to customers through appropriate distribution channels, and promoting it in ways that motivate purchase as much as possible. The course serves as a foundation for marketing knowledge in general. No credit for students in the School of Management, except economics majors. Offered Fall, Spring and Summer."
MGMT 50010,Foundations Of Financial Accounting,1.00 to 2,".00. The primary objective of this course is to provide a broad overview of financial accounting. The four basic financial statements are discussed which include balance sheet, income statement, statement of retained earnings, and statement of cash flows. The components that make up each statement will also be covered to include assets, liabilities, owner’s equity, revenue and expenses. Upon completion of this course, students will have an understanding of the fundamental accounting concepts and how financial information is used by various internal and external decision makers. Typically offered Fall Spring Summer."
LTHN 10200,Lithuanian Level II,3.00,.  Continuation of Lithuanian 101. Typically offered Summer Fall Spring.
LBST 43600,Great Issues II,3.00,".  A consideration of major issues affecting humankind from the perspective of our total experience, with an emphasis on the historical unfolding of those issues and great thinkers’ answers to them from the Renaissance to the present day. Focus includes Discussions of moral decision-making, political systems, aesthetics, religion and spirituality, reality, knowledge, human nature and the meaning of life. Open to all students with junior, senior or graduate standing.  Typically offered Fall, Spring and Summer"
MGMT 25400,Legal Foundations Of Business I,3.00,".  An examination and study, for management students, of the nature and place of law in our society, both national and international, the social and moral bases of law enactment, regulation of business, legal liability, enforcement procedures, and the legal environment for managers. Typically offered Fall Spring Summer."
LTHN 10100,Lithuanian Level I,3.00,.  Introduction to basic skills in the language. Typically offered Summer Fall Spring.
LBST 43500,Great Issues I,3.00,".  A consideration of major issues affecting humankind from the perspective of our total experience, with an emphasis on the 
historical unfolding of those issues and great thinkers’ answers to them from Antiquity to the Renaissance. Focus includes discussions of moral decision-making, political systems, aesthetics, religion and spirituality, reality, knowledge, human nature and the meaning of life.  Open to all students with junior, senior or graduate standing. Typically offered Fall, Spring and Summer."
LAS 49000,Topics In Latin American Studies,3.00,.  Special topics course designed to address various subjects. Typically offered Summer Fall Spring.
LBST 23500,Introduction To Great Issues,3.00 the course focuses on some of the fundamental questions facing humankind throughout the ages,". Students will also develop reading, writing and critical thinking skills. The course is open to everyone and serves as a gateway course to the Bachelor of Liberal Studies degree. Typically offered in the Fall, Spring and Summer"
LAS 37700,Latino/Hispanic Cinema,3.00,".  A study of films produced by Hispanic-Americans and/or depicting the Hispanic American experience.  Students will engage in critical analysis of the films, and expect to develop greater understanding of the social context of subjects introduced.  May include documentaries or feature films.  Approximately two hours each week will be devoted to viewing films, and two hours to class lecture/discussion. Typically offered Summer Fall Spring."
LAS 47200,History Of Mexico,3.00,.  A history of the Mexican people from the pre-Columbian period to the present.  Special emphasis is placed on the successful social revolutions that led to the development of today’s dynamic nation. Typically offered Fall Spring Summer.
LAS 45000,Hispanic Heritage At The Calumet Region,3.00,".  An exploration of the history of Hispanic immigration into the Calumet Region.  The course will include an examination of cultural diversity, politics, community organizations, and contributions of local Hispanic-Americans. Typically offered Summer Fall Spring."
LAS 39000,"Latin American Themes Of Culture, Politics And Economy",3.00,.  Topics addressed will include general themes of culture and political economy in Latin America. Typically offered Summer Fall Spring.
LAS 37600,Latin American Cinema,3.00,".  A study of films produced in Latin America or addressing Latin American topics/issues.  Students will engage in critical analysis of the films, and expect to develop greater understanding of the social context of subjects introduced.  May include documentaries or feature films.  Approximately two hours each week will be devoted to viewing films, and two hours to class lecture/discussion. Typically offered Summer Fall Spring."
LAS 33000,United States And Latin America,3.00,".  This course will explore political, economic and social aspects of relations between the United States and various Latin American nations from independence to the present. Typically offered Summer Fall Spring."
LALS 10100,Introduction To Latin American Studies,3.00,".  This course outlines the political, social, cultural, and historical dimensions of Latin America organized in thematic units.  Topics cover from the cultural heritage of Spain and the pre-Spanish civilizations to contemporary Latin America.  Course conducted in English.  Typically offered Fall Spring Summer."
LAS 37300,The Caribbean,3.00,".  Will explore various topics and issues unique to the Caribbean.  Emphasis will be placed on European and African influence on the complex nature of Caribbean history, languages and literature, societies and cultures.   Students may take the course for credit in either Latin American Studies or History, but not both. Typically offered Summer Fall Spring."
LATN 10100,Latin Level I,3.00,".  Introduction to classical Latin language. Focus on grammar, syntax, vocabulary, and elementary readings. Typically offered Fall Spring Summer."
LATN 10200,Latin Level II,3.00,".  Second semester introduction to Latin. Focus on grammar, syntax, vocabulary, and elementary readings in classical Latin and the language of the Vulgate. Typically offered Fall Spring Summer."
JPNS 20200,Japanese Level IV,3.00 or 4,".00.  A continuation of intermediate Japanese. Active use of authentic materials for listening and reading practice. Task-oriented exercises, communicative activities, and pattern practice for learning of the spoken and written language. 150 Kanji. Typically offered Fall Spring Summer."
JPNS 10200,Japanese Level II,3.00 or 4,.00.  A continuation of the study of elementary Japanese. Task-oriented activities will be incorporated to encourage language use as well as pattern practice for linguistic accuracy. Relevant cultural aspects will be introduced. 120 Kanji. Typically offered Fall Spring Summer.
JPNS 10100,Japanese Level I,3.00 or 4,".00.  A basic study of standard Japanese. Students will be introduced to spoken and written forms of the language from the beginning. Language form and use are equally emphasized. Relevant cultural aspects. Hiragana, Katakana, and 85 Kanji. Typically offered Fall Spring Summer."
JPNS 20100,Japanese Level III,3.00 or 4,".00.  A study of intermediate Japanese. Occasional use of authentic materials for listening and reading practice. Task-oriented exercises, communicative activities, and pattern practice are used to facilitate learning of the spoken and written language. 110 Kanji. Typically offered Fall Spring Summer."
ITAL 20100,Italian Level III,3.00,.  A continuation of ITAL 10200. Typically offered Fall Spring Summer.
ITAL 20200,Italian Level IV,3.00,".  An intermediate Italian course with emphasis on communicative skills (listening and speaking), literacy skills (reading and writing) and culture. Typically offered Fall Spring Summer."
ITAL 10100,Italian Level I,3.00,".  A beginning Italian course with emphasis on communicative skills (listening and speaking), literacy (reading and writing) and culture. Typically offered Fall Spring Summer."
ITAL 10200,Italian Level II,3.00,.  Continuation of ITAL 10100. Typically offered Fall Spring Summer.
IDIS 10600,Introduction To Gender Studies,3.00,".  An interdisciplinary course introducing students to the study of gender as a category for social and cultural analysis.  Examines how ideas about sexual and gender differences have shaped experiences in a global society.  Explores construction of gender roles and sexuality; biological arguments about gender and sexuality; the interplay of gender with sexuality, class, race/ethnicity, and nationality; the ways gender shapes families, workplaces, and other institutions.  Assists students in learning about theories of gender and methods of analysis in order to formulate questions about gender as it relates to their on-going work in various disciplines across the curriculum.  Typically offered Fall Spring Summer."
IDIS 49100,Special Topics In Interdisciplinary Studies,1.00 to 4,.00.  Special topics or projects under the direction of the instructor in a particular field of specialization. Typically offered Fall Spring Summer.
IDIS 10001,Undergraduate Interdisciplinary Research,0.00,". Applied Experiential research opportunity in student’s major field and one other discipline, guided by a classroom instructor. Research opportunity requiring 15 hours more or less of experiential research activity during the semester. Must be taken with a credit course in the major requiring a research paper or research project.  Typically offered Fall Spring Summer."
ITS 59000,Special Problems In Computer Information Technology,1.00 to 6,.00.  Intensive individual study of selected current developments and issues in Computer Information Technology.  A faculty sponsor is required for this course.  Does not substitute for either M.S. thesis or M. S. project credit.  Permission of instructor required.  Typically offered Fall Spring Summer.
ITS 58100,Workshop In Computer Information Technology,0.00 to 8,".00.  Advanced study of technical and professional topics. Emphasis is on new development relating to technical, operational, and training aspects of industry and technology education. Permission of instructor required.  Typically offered Fall Spring Summer."
ITS 57000,Principles Of Computer Networks And Communications,3.00,".  This course provides the advanced topics in computer networks and communications, which will cover information theory, signal and noise analysis, advanced encoding schemes, modulation, multiplexing, wireless spectrum characteristics including various wireless networks, routing algorithm and protocol, transport layer protocols, client and server protocols, network security and performance.  Permission of department required.  Typically offered Fall Spring Summer."
ITS 56600,Database Object-Oriented Modeling And Architecture,3.00,". This seminar course covers the concepts of database modeling and architecture including topics as relational modeling, advanced object-oriented modeling and object persistence. Course may be offered as classroom-based, distance or hybrid format.  Prerequisite: Graduate student standing or senior status with the consent of instructor. Graduate students without an ITS background may be required to take additional leveling courses.  Instructor permission required. Typically offered Fall Spring Summer."
ITS 56800,Database Application Integration,3.00,". This seminar course covers the concepts of database application and integration including topics as transactional processing, data integrity and integration with the web. Typically offered Fall Spring Summer."
ITS 56400,Datawarehousing And Business Intelligence,3.00,". This seminar course covers data warehousing and business intelligence concepts, with an emphasis on dimensional modeling as it applies to business intelligence. The course is an appropriate entry-level graduate course for interdisciplinary students. Students should have taken mid-level database and programming classes as an undergraduate. Typically offered Fall Spring Summer."
ITS 56200,Database Administration,3.00,". This seminar course covers the concepts of database administration, including topics such as architecture, advanced data management, and performance monitoring. The course is an appropriate entry-level graduate course for interdisciplinary students. Students should have taken mid-level database and programming classes as an undergraduate. Typically offered Fall Spring Summer."
ITS 56000,Database Management Security,3.00,". This seminar course covers the concepts of security as it applies to data and database security, including auditing methods using Oracle and SQL server. The course is an appropriate entry-level graduate course for interdisciplinary students. Students should have taken mid-level database, security, and programming classes as an undergraduate. Typically offered Fall Spring Summer."
ITS 55400,Intrusion Detection And Prevention Systems,3.00,".  This course will cover the fundamental concepts and design implications required to develop and implement intrusion detection and prevention systems that address security violations in computer systems.  Topics to be covered include: main classes of attacks against computer systems, taxonomy and architecture of intrusion detection and prevention systems, network traffic analysis and feature extraction algorithms, signature and anomaly based techniques, key heuristic based and machine learning based techniques and algorithms for intrusion detection.  Intrusion detection and prevention systems performance evaluation and issues related to security and defense in depth will also be addressed.  Typically offered Fall Spring Summer."
ITS 55200,Digital Forensics Techniques,3.00,".  Identifying, preserving and extracting electronic evidences from computers, networks, and mobile devices.  Students learn how to examine and recover data from digital information systems, core forensic procedures for any operating or file system, understanding technical issues in acquiring evidence and how to conduct forensically sound examinations to preserve evidence for admission and use legal proceedings.  Typically offered Fall Spring Summer."
ITS 55300,Software Security And Secure Programming,3.00,".  This course covers software security goals, threats and threat modeling, software design principles, fundamental programming security (input validation, expression and numeric types and operations), object oriented software design and security, network and concurrency software programming and security, platform security. Permission of department required. Typically offered Fall Spring Summer."
ITS 55100,Principles Of Information Assurance,3.00,".  This course covers information security governance and risk management, access control, security architecture and design, physical security, telecommunication and network security, wireless security, cryptographic, Virtualization and cloud security, supply chain security, critical infrastructure security, business continuity, legal issues, application security and software development assurance, security operations, security policy, security management, ethical hacking and penetration testing. Permission of department required. Typically offered Fall Spring Summer."
ITS 55000,Biometrics For Cyber Security,3.00,".  This course will cover the fundamental concepts and design implications required to implement biometric systems. Key approaches and machine learning techniques specific to vision based, speech based, and behavioral based biometric systems will be discussed. Biometric system performance evaluation and issues related to security and privacy will also be addressed.  Permission of Instructor required. Typically offered Fall Spring Summer."
ITS 53100,High Performance Computing And Big Data,3.00,.  High Performance Computing (HPC) has played an important role in the field of Artificial Intelligence due to its computation ability to the large size of data. This course will cover the current techniques applied to HPC and applications to Big Data analysis problems. The topics that will be covered in this course are parallel computing concepts and techniques and distributed Machine Learning using open-source distributed Machine Learning software packages. Permission of instructor required. Typically offered Fall Spring.
ITS 53000,Practical Deep Learning,3.00,".  This course covers the theory and technologies related to deep learning. In particular, the course focuses on the following topics: neural networks and hidden layers; issues with designing deep neural networks; convolutional neural networks (CNNs); recurrent neural networks (RNNs); generative adversarial networks (GANs); batch optimization; word embeddings; and other special topics.   Graduate, professional or senior status required. Typically offered Fall Spring."
ITS 49900,Topics In Information Technology IV,1.00 to 4,.00.  This course covers topics in information technology or security topics. Typically offered Summer Fall Spring.
ITS 52000,Applied Machine Learning,3.00,".  This course covers the theory and technologies used in developing web applications in the context of eCommerce, social media, big data, information retrieval and analytics, the internet of things, web security, and other emerging web issues. Issues related to web application development, management, and security are also discussed. Permission of instructor required. Typically offered Fall Spring Summer."
ITS 48000,IT Project Development And Management,3.00,".  This course covers the planning, design, selection, and project management of information technology systems. The course contains the development of requirements, configuration of hardware and software, management of the procurement and implementation process, performance requirements, contract negotiations, and legal issues within a comprehensive project. Typically offered Summer Fall Spring."
ITS 49000,Senior Project Undergraduate Research,3.00,".  This capstone course brings together the different domains of Information Technology. The course contains topics of distributed application development, networking, information assurance and security that integrate around an unconstrained problem of substantial complexity with an undefined solution and the implementation of the design solution. Typically offered Spring."
ITS 47800,Advanced Topics In Cyber Security Practices,3.00,".  This course is an advanced course on cybersecurity for the undergraduate Computer Information Technology Program. This course covers information security governance and risk management, NIST risk management framework RMF, NIST business continuity standard,  ethical hacking and penetration testing process, web-based hacking, wireless and network hacking, malware analysis. Typically offered Fall Spring."
ITS 47200,Network Design And Implementation,3.00,".  This course covers the design and implementation of enterprise level networks. Topics include network topologies, protocols, technologies, services, design and architecture, and implementation of the network design. Extensive laboratory exercises are assigned. Typically offered Spring."
ITS 47000,Large Scale High Performance Systems,3.00,". This course introduces the concept of high performance computing for big data processing and analysis. This course covers high performance computing tools including distributed system concept, practical techniques and applications. Students will learn distributed machine learning system with tools in various structures and utilize them for data processing and analysis through lectures, hands-on laboratories, and projects. Topics that will be included in this course are high performance computing tools, distributed system structures, open source data tools and implementation, data analysis, and more.  Typically offered Fall Spring Summer."
ITS 46600,Data Visualization Technology,3.00,". This course covers the principles and development techniques for creating effective and interactive visualization applications to explore data sets from a wide range of fields including, but not limited to, scientific, medical, engineering, sports, web and social network. Students will utilize industry standard software development toolkits to represent the data sets visually to gain insight with data, explore the data, and communicate the observations and results with other people, through hands-on laboratories and projects. Topics include development of visualization software for numerical data, textual data, time-series data, network and graph data, geospatial data, medical and scientific data, and visualization for Explainable Artificial Intelligence. Typically offered Fall Spring."
ITS 46200,Application Integration,3.00,".  This course covers application integration methods using service oriented computing and various publicly available application programming interfaces (APIs), integration of disparate enterprise and Web applications, implementing interfaces between platforms and applications.  Topics include data exchange formats, APIs for processing data of different formats, service creation and service consumption, as well as the latest developments in application integration. Extensive laboratory exercises are assigned. Typically offered Fall."
ITS 14000,Introduction To Computer Algorithms And Logic,3.00,".  This course introduces basic concepts of computer programming through the development of algorithms and logic to different types of real-word problems. It emphases on developing problem-solving skills required for creating software solutions. The course covers computer system basics, software development process, basic programming structures, constructs and data structures, and methods for developing algorithms and logic. Extensive laboratory assignments are assigned. Typically offered Fall."
ITS 17000,Networking Technologies,3.00,".  This course covers routing and switching, physical layer, foundations of networking, security, application considerations, network management, and other topics. Typically offered Spring."
ITS 45800,Advanced Topics In Cyber Forensics Practices,3.00,".  Discover and analyze electronic evidences from computers, networks, and disk images. Students learn how to examine and recover data from digital information systems, core forensic procedures for any operating or file system, understanding technical issues in acquiring digital evidence and how to conduct forensically sound examinations to preserve evidence for admission and use legal proceeding. The following topics will be covered: operating systems forensic, cloud forensics, network forensics, applied decryption.  Typically offered Fall Spring."
ITS 13000,Platform Technologies,3.00,".  This course covers architecture and organization, computer infrastructure, enterprise deployment software, firmware, hardware and other topics. Typically offered Summer Fall Spring."
ITS 13500,Operating Systems Technologies,3.00,".  This course covers operating systems concepts, applications, administrative activities, installation, customization, maintenance, security, and other topics. Typically offered Fall."
ITS 11000,Web Systems Technology,3.00,".  This course covers web technologies, information architecture, digital media, web development, vulnerabilities, social software, and other topics. Typically offered Spring."
ITS 12000,Information Technology Interaction,3.00,".  This course covers human factors, HCI aspects of application domains, human-centered evaluation, developing effective interfaces, accessibility, emerging technologies, human-centered software and other topics. Typically offered Summer Fall Spring."
ITS 10000,Information Technology Fundamentals,3.00,".  This is the freshman experience course that also covers pervasive themes in IT, organization issues, and history of IT, IT and its related informing disciplines, application domains, computer math, and other IT topics. Typically offered Fall."
IT 57100,Project Management In Industry And Technology,3.00,".  The factors influencing decisions during the initiation, implementation, and termination of industrial and manufacturing projects are examined. Students work as project teams, using project management tools to develop implementation strategies. Permission of instructor required. Typically offered Fall Spring Summer."
IT 53500,Global Supply Chain Management,3.00,".  The objective of this course is to provide in-depth knowledge of global supply chain management and its application in industries. This course explores supply chain management, expanding beyond the linkage between producer and distributor to include other enterprises in the product life cycle, beginning with concept design and ending in disposal. Learning methodologies include lecture, case study, and collaborative student group activities in applied research.  Permission of department required.  Typically offered Fall."
IT 50800,Quality And Productivity In Industry And Technology,3.00,".  (AT 50800)  Examines the contemporary issues of continuous improvement in quality and productivity in manufacturing and service industries. Includes a close examination of the evolving philosophies bearing on the scope, improvement, and costs of quality assurance programs in industry and technology. Typically offered Summer Fall Spring."
IT 50700,Measurement And Evaluation In Industry And Technology,3.00,".  (TECH 50700 - PUI)  An introduction to measurement strategies in industrial, technical, and human resource development environments. The evaluation of measurement outcomes will be the primary focus of the course. Typically offered Fall Spring Summer."
IET 58100,Workshop In Industrial Engineering Technology,0.00 to 8,".00.  Advanced study of technical and professional topics. Emphasis is on new developments relating to technical, operational, and training aspects of industry and technology education.  Typically offered Fall Spring Summer."
IET 56000,Discrete Event Simulation,3.00,".  This course provides students opportunity to apply discrete event system simulation to design, analyze, and improve complex systems such as business and industrial systems. Theoretical background of discrete event process simulation concepts will be covered. Topics include systems concepts, modeling systems using discrete events, and modeling of various industrial and commercial systems through simulation. Theoretical topics include random variable generation, model verification and validation, statistical analysis of output, variance reduction techniques and optimization via simulation. High-level commercial simulation languages will be utilized. Students will complete and present a simulation project. Graduate student status or senior status with instructor approval. Leveling courses may be required based upon student undergraduate degree. Typically offered Fall Spring Summer."
IET 59000,Special Problems In Industrial Engineering Technologies,1.0 to 6,.0.  Intensive individual study of selected current developments and issues in Industrial Engineering Technology.  A faculty sponsor is required for this course. Does not substitute for either M.S. thesis or M. S. project credit.  Permission of instructor required.  Typically offered Fall Spring Summer.
IET 52000,Enterprise Quality Planning And Analysis,3.00,".  This course provides advanced quality techniques required for improving quality, reliability and maintenance in modern business enterprises by providing essential tools. The course will focus on problem solving and team sessions with high participation of students. Instructor permission required.  Typically offered Fall Spring."
IET 49900,Industrial Engineering Technology,1.00 to 9,.00.  Hours and subject matter to be arranged by staff. Course may be repeated for credit. Typically offered Fall Spring Summer.
IET 51000,Product And Process Development Optimization,3.00,". Product and process development and optimization is an efficient statistical procedure for planning a series of experiments such that the data obtained can be analyzed to yield valid and objective conclusions. It can be used to screen a set of variables to identify those with most effect, optimize an experimental process or retrospectively analyze a set of experimental data. Both the design and analysis steps require the application of techniques for statistical data analysis. Typically offered Fall Spring."
IET 41100,Applications Of Lean And Six Sigma Methodologies,3.00,".  This hands-on course focuses on emerging business practices that are geared toward making an organization more effective and efficient.  Highlighted topics will include use of lean and six sigma methodologies in today’s business environments.  These methods are used for achieving long term profits through customer satisfaction, waste elimination, and elevation of employee skills to eliminate waste and defects at the source.  Application of these methods in various environments such as service, health care and manufacturing organizations will be explored.  Students are expected to work in teams to apply systematic problem solving processes to solve case studies and/or real-world issues.  Supporting concepts such as implementation of new business practices and culture change will also be explored. Typically offered Fall Spring."
IET 37801,Quality Systems And Improvement,3.00,".  Quality practices and philosophies will be explored in order to examine methods for determining customer needs and wants and interpreting these into design. The course bridges quantitative, behavioral, and strategic concepts for designing organizations to be dynamic, integrated systems whose outputs are monitored for quality and continuously improved. Typically offered Fall Spring."
IET 35200,Operations Management,3.00,".  This course provides an understanding of the concepts involved in design and organizational management of manufacturing and service systems. Topics include manufacturing strategy, inventory systems, work analysis and design, production planning, quality management, process design, and lean manufacturing and continuous improvement. Statistics and statistical methods will be used in analysis. Case studies and articles integrate these topics and highlight managerial implications."
IET 30800,Engineering Project Management And Economic Analysis,3.00,".  Introduction to principles of engineering project management and techniques.  Topics include technical feasibility studies, project specifications, scheduling validation, lifecycle costing, and economic analysis.  The focus is on managing an engineering project through scheduling, budgeting, resource management, execution, and control. Typically offered Summer Fall."
IET 29900,Industrial Engineering Technology,1.00 to 9,.00.  Hours and subject matter to be arranged by staff. Typically offered Fall Spring.
IET 27300,Principles Of Quality And Process Improvement,3.00,". This course focuses on the management culture, philosophy, practices, and processes necessary to develop a total quality orientation. The course bridges quantitative, behavioral, and strategic concepts for designing organizations to be dynamic, integrated systems whose outputs are monitored for quality and continuously improved. Typically offered Fall Spring Summer."
IET 22400,Production Planning And Control,3.00,".  Preproduction planning of the most economical methods, machines, operations, and materials for the manufacture of a product.  Planning, scheduling, routing, and detailed procedure of production control. Typically offered Fall Spring."
IE 58300,Design And Evaluation Of Material Handling Systems,3.00,.  Analysis for design and evaluation of material handling systems with emphasis on material flow control and storage. Analytic models and simulation used. Economic justification models for material handling systems. Typically offered Fall.
IET 10400,Industrial Organization,3.00,".  A detailed survey of organizational structures, operational, financial, marketing, and accounting activities; duties of management, planning, control, personnel, safety, wages, policy, and human factors necessary for effective management. Not open to students taking, or with credit in, IE 36600. Typically offered Fall Spring Summer."
IE 35600,Human Factors Design,3.00,".  Engineering design and analysis of man-machine systems.  Study of man’s input, output, and processing subsystems.  Measurement of human factors.  Environmental and task considerations in the design and performance of total systems. Typically offered Fall Spring Summer."
HDFS 49002,Special Topics In Human Development And Family Studies,0.00 to 6,".00.  Individual or group participation in supervised reading, laboratory experiences, field experiences, or research in special areas in Human Development and Family Studies. Permission of department required. Typically offered Fall Spring Summer."
HDFS 46200,Ethics And Professional Development In Family Life Education,course  3.00,".  This course is designed to educate the participant in ethical issues and ethical decision making, in the field of family life education. Students will learn to function in a wide range of settings with sensitivity to diversity issues in families. Students will be exposed to a blend of theory and practice, tackling programming issues such as sexuality education, marriage and parent education, program planning and evaluation, and other issues that affect individuals across the life span. Typically offered Fall Spring."
